epoch,step,test0_epoch/forces_mae,test0_epoch/forces_maxabserr,test0_epoch/forces_rmse,test0_epoch/per_atom_energy_mae,test0_epoch/per_atom_energy_maxabserr,test0_epoch/per_atom_energy_rmse,test0_epoch/total_energy_mae,test0_epoch/total_energy_maxabserr,test0_epoch/total_energy_rmse,test0_epoch/weighted_sum,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_maxabserr,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_maxabserr,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_maxabserr,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
0,4,,,,,,,,,,,,,,38199.490865128515,14732.174705528778,26465.832785328646,,,,,,,,,,
0,9,,,,,,,,,,,,,,33445.07774576128,13535.073463939169,23490.075604850223,,,,,,,,,,
0,14,,,,,,,,,,,,,,29531.727962278525,10771.359003315594,20151.54348279706,,,,,,,,,,
0,19,,,,,,,,,,,,,,27439.4668032235,10357.673687159608,18898.570245191553,,,,,,,,,,
0,24,,,,,,,,,,,,,,24805.111364997952,8448.086725616364,16626.599045307157,,,,,,,,,,
0,29,,,,,,,,,,,,,,20947.834553287837,6770.261504060821,13859.04802867433,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,101.45953681075858,619.1540438536433,150.91749232410785,87.12775520237592,91.2523883345857,87.15859202148764,1829.6828592499019,1916.3001550263143,1830.330432451248,94.29364600656726
0,29,,,,,,,,,,,30845.570022803076,11419.098776129673,21132.334399466374,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,19095.889319893828,5577.7071248694565,12336.798222381642,,,,,,,,,,
1,39,,,,,,,,,,,,,,13185.843969666972,3809.805651093083,8497.824810380027,,,,,,,,,,
1,44,,,,,,,,,,,,,,10281.268971545394,2134.8608888257277,6208.064930185561,,,,,,,,,,
1,49,,,,,,,,,,,,,,6322.4836713587865,1588.9437492053037,3955.713710282045,,,,,,,,,,
1,54,,,,,,,,,,,,,,6534.404761982039,1040.3411383218886,3787.372950151964,,,,,,,,,,
1,59,,,,,,,,,,,,,,3540.701379494967,629.5236462479932,2085.1125128714802,,,,,,,,,,
1,59,,,,,,,,,,,,,,,,,56.32561511631087,297.7213813938928,76.23704998458648,32.196578176150794,33.80285725516296,32.21520914221194,676.1281416991726,709.8600023583858,676.5193919864562,44.26109664623083
1,59,,,,,,,,,,,11277.886124603301,2834.4229749085584,7056.15454975593,,,,,,,,,,,,,
2,64,,,,,,,,,,,,,,3927.2061562425183,582.9718676445557,2255.089011943537,,,,,,,,,,
2,69,,,,,,,,,,,,,,3404.4831118664124,479.65928430365534,1942.0711980850338,,,,,,,,,,
2,74,,,,,,,,,,,,,,1290.0799251079695,402.12074917179433,846.100337139882,,,,,,,,,,
2,79,,,,,,,,,,,,,,1010.1318378793349,263.16341775294643,636.6476278161406,,,,,,,,,,
2,84,,,,,,,,,,,,,,1033.8433362798783,116.55896563492534,575.2011509574018,,,,,,,,,,
2,89,,,,,,,,,,,,,,1666.851514764641,30.584842696143006,848.718178730392,,,,,,,,,,
2,89,,,,,,,,,,,,,,,,,31.348783561594864,225.2504414260009,42.212674739434114,12.577729005159927,13.501728643597744,12.59797317772655,264.13230910835557,283.5363015155308,264.55743673225373,21.963256283377397
2,89,,,,,,,,,,,2361.19109720179,346.2517751337949,1353.7214361677925,,,,,,,,,,,,,
3,94,,,,,,,,,,,,,,1487.8569982935087,25.241978253750794,756.5494882736298,,,,,,,,,,
3,99,,,,,,,,,,,,,,1134.0625901970282,15.974185590310617,575.0183878936693,,,,,,,,,,
3,104,,,,,,,,,,,,,,957.6183552428008,17.414097047480734,487.51622614514076,,,,,,,,,,
3,109,,,,,,,,,,,,,,475.00229236258946,6.946814601107678,240.97455348184857,,,,,,,,,,
3,114,,,,,,,,,,,,,,784.4653685065558,0.9855602328552853,392.72546436970555,,,,,,,,,,
3,119,,,,,,,,,,,,,,993.5388414908512,0.78777036388198,497.1633059273666,,,,,,,,,,
3,119,,,,,,,,,,,,,,,,,25.165881725410262,207.47833795177525,34.41010476385039,2.405165142546685,3.181468529448466,2.480320965874554,50.50846799348365,66.81083911837777,52.08674028336683,13.785523433978474
3,119,,,,,,,,,,,1032.1599671623826,13.572419193151765,522.8661931777672,,,,,,,,,,,,,
4,124,,,,,,,,,,,,,,931.0500806154561,0.09917555023731023,465.5746280828467,,,,,,,,,,
4,129,,,,,,,,,,,,,,686.2145662785247,0.19668042727708265,343.2056233529009,,,,,,,,,,
4,134,,,,,,,,,,,,,,798.5465186762212,1.968366810616515,400.2574427434189,,,,,,,,,,
4,139,,,,,,,,,,,,,,303.43073013594653,0.6172160424247488,152.02397308918563,,,,,,,,,,
4,144,,,,,,,,,,,,,,570.2730421758063,0.06971922068927963,285.1713806982478,,,,,,,,,,
4,149,,,,,,,,,,,,,,713.8497436217507,1.3665570641450155,357.60815034294785,,,,,,,,,,
4,149,,,,,,,,,,,,,,,,,21.552196972694375,188.22755118998106,29.992369557954603,0.493319224572042,1.068083795678831,0.5850647606676309,10.359703716012882,22.429759709222708,12.286359974016037,11.022758098633208
4,149,,,,,,,,,,,701.13208934352,0.6753326543537412,350.90371099893684,,,,,,,,,,,,,
5,150,21.43752500929031,190.88492285872968,29.158362119809407,0.5920088627408404,1.1503394616556761,0.6737633561089572,12.43218611755292,24.157128694758285,14.149030478287576,11.014766936015576,,,,,,,,,,,,,,,,
